Jahr,Eigentumswohnungen,Neubauhäuser,Bestandshäuser,Gesamtindex
Aug-24,212.51,233.28,195.38,213.72
Jul-24,212.33,234.25,193.76,213.45
Jun-24,210.96,234.56,193.38,212.97
May-24,209.33,234.85,193.54,212.57
Apr-24,206.96,235.28,192.76,211.67
Mar-24,204.40,236.17,192.24,210.94
Feb-24,202.79,235.52,190.71,209.67
Jan-24,201.67,235.61,190.34,209.21
Dez-23,202.30,233.92,190.50,208.91
Nov-23,203.57,233.84,191.79,209.73
Oct-23,205.40,231.45,192.87,209.91
Sep-23,206.16,230.19,193.85,210.07
Aug-23,206.87,228.21,194.22,209.77
Jul-23,208.25,228.06,195.56,210.62
Jun-23,209.81,228.58,196.45,211.61
May-23,211.18,229.47,198.29,212.98
Apr-23,210.51,231.31,199.69,213.84
Mar-23,209.75,232.74,199.36,213.95
Feb-23,208.55,232.10,199.58,213.41
Jan-23,208.96,229.05,198.45,212.15
Dez-22,210.85,226.31,200.37,212.51
Nov-22,214.85,226.77,203.69,215.10
Oct-22,220.45,227.78,208.88,219.04
Sep-22,224.98,228.34,212.16,221.83
Aug-22,227.27,227.27,214.37,222.97
Jul-22,228.65,226.28,215.63,223.52
Jun-22,230.63,226.86,217.12,224.87
May-22,231.29,225.38,217.47,224.71
Apr-22,231.03,224.36,217.04,224.14
Mar-22,229.25,221.33,216.1,222.23
Feb-22,226.52,219.69,212.98,219.73
Jan-22,224.14,217.69,210.47,217.43
Dec-21,220.19,215.48,207.2,214.29
Nov-21,219.05,211.45,205.3,211.93
Oct-21,217.19,208.22,203.28,209.56
Sep-21,215.87,205.48,202.79,208.05
Aug-21,213.38,204.61,201.57,206.52
Jul-21,211.86,202.66,199.6,204.71
Jun-21,209.71,200.38,195.33,201.81
May-21,207.6,198.41,192.01,199.34
Apr-21,204.06,196.6,189.43,196.7
Mar-21,201.99,193.84,187.04,194.29
Feb-21,199.05,192.17,183.46,191.56
Jan-21,196.57,190.47,180.99,189.34
Dec-20,194.18,190.73,179.72,188.21
Nov-20,193.08,189.2,178.63,186.97
Oct-20,191.85,188.28,175.55,185.23
Sep-20,190.38,187.27,174.06,183.9
Aug-20,187.69,186.82,171.8,182.1
Jul-20,185.67,185.63,170.81,180.7
Jun-20,183.48,184.53,167.52,178.51
May-20,182.53,183.35,166.64,177.51
Apr-20,182.08,181.9,164.24,176.07
Mar-20,181.22,180.3,163.03,174.85
Feb-20,179.59,179.03,160.31,172.98
Jan-20,177.13,178.88,159.6,171.87
Dec-19,174.78,177.75,157.37,169.97
Nov-19,174.37,176.82,157.36,169.52
Oct-19,171.48,175.65,155.34,167.49
Sep-19,170.09,174.14,153.99,166.07
Aug-19,168.45,173.02,152.88,164.78
Jul-19,166.6,171.29,152,163.3
Jun-19,164.13,170.89,150.13,161.72
May-19,163.25,169.7,147.1,160.02
Apr-19,161.3,167.98,143.88,157.72
Mar-19,159.51,165.82,141.89,155.74
Feb-19,156.37,164.45,141.6,154.14
Jan-19,155.94,164.01,142.49,154.15
Dec-18,156.4,163.88,142.27,154.18
Nov-18,157.32,163.71,141.56,154.2
Oct-18,156.1,162.31,140.17,152.86
Sep-18,153.71,160.77,138.8,151.09
Aug-18,153.56,159.51,138.15,150.41
Jul-18,152.85,158.75,137.28,149.63
Jun-18,149.39,158.04,135.79,147.74
May-18,148.11,157.2,135.07,146.79
Apr-18,146.96,157.29,134.56,146.27
Mar-18,145.11,156.2,131.1,144.14
Feb-18,143.5,156.54,129.51,143.18
Jan-18,143.96,154.99,128.53,142.49
Dez-17 ,144,153.93,130.51,142.81
Nov-17,144.02,152.76,129.87,142.22
Oct-17,143.44,152.16,128.27,141.29
Sep-17,142.92,151.82,127.75,140.83
Aug-17,142.61,150.99,127.05,140.22
Jul-17,143.06,150.98,125.95,140
Jun-17,143.8,150.15,124.65,139.53
May-17,141.33,149.09,123.88,138.1
Apr-17,139.99,148.09,124.51,137.53
Mar-17,137.13,147.47,123.61,136.07
Feb-17,137.41,147.83,124.23,136.49
Jan-17,135.7,148.11,123.92,135.91
Dec-16,135.62,148.9,124.66,136.39
Nov-16,133.65,146.38,123.03,134.35
Oct-16,133.08,145.13,121.02,133.08
Sep-16,133.07,144.21,120.41,132.56
Aug-16,134.56,141.44,121.99,132.66
Jul-16,133.98,138.06,125.12,132.39
Jun-16,132.35,134.74,125.95,131.01
May-16,129.04,133.26,123.08,128.46
Apr-16,127.59,132.69,121.3,127.19
Mar-16,127.6,132.7,119.19,126.5
Feb-16,127.94,133.55,118.09,126.53
Jan-16,126.9,133.11,116.33,125.45
Dec-15,124.81,132.55,113.86,123.74
Nov-15,122.14,131.73,113.6,122.49
Oct-15,121.37,131.19,113.66,122.07
